station_complex_id,year,day_type,avg_daily_ridership,ridership_ratio
145,2024,weekend,1870.875,1.0770039088334362
146,2020,weekday,4188.927480916031,1.0
146,2020,weekend,2579.923076923077,0.6158910815899115
146,2021,weekday,6231.045977011494,1.4875039029438855
146,2021,weekend,3677.625,0.8779395243184732
146,2022,weekday,6032.9384615384615,1.4402107673201314
146,2022,weekend,2987.3173076923076,0.713146102743952
146,2023,weekday,5584.657692307693,1.333195123990651
146,2023,weekend,2928.504761904762,0.6991061017996806
146,2024,weekday,6300.141221374046,1.503998636900808
146,2024,weekend,3858.644230769231,0.9211532661638311
147,2020,weekday,5110.31679389313,1.0
147,2020,weekend,2977.3365384615386,0.5826129100292725
147,2021,weekday,6118.83908045977,1.1973502479869413
147,2021,weekend,3571.3653846153848,0.6988540101629698
147,2022,weekday,6789.046153846154,1.3284981005402872
147,2022,weekend,3344.390476190476,0.654438973369919
147,2023,weekday,7184.892307692307,1.4059582991563873
147,2023,weekend,3607.352380952381,0.7058960386297766
147,2024,weekday,7073.6908396946565,1.384198108451471
147,2024,weekend,4190.5192307692305,0.8200116352428356
149,2020,weekday,1883.7595419847328,1.0
149,2020,weekend,1190.4615384615386,0.6319604556361084
149,2021,weekday,2055.735632183908,1.0912940778088804
149,2021,weekend,1373.5,0.7291270299567415
149,2022,weekday,2407.923076923077,1.2782539508126842
149,2022,weekend,1515.2190476190476,0.8043590563701192
149,2023,weekday,2562.357692307692,1.3602360785432237
149,2023,weekend,1693.9809523809524,0.8992554063435139
149,2024,weekday,2720.1450381679388,1.443998014365458
149,2024,weekend,1759.2596153846155,0.9339088010835268
150,2020,weekday,1111.7671755725191,1.0
150,2020,weekend,727.0576923076923,0.6539657837382044
150,2021,weekday,1241.4137931034484,1.1166131006378794
150,2021,weekend,860.4326923076923,0.7739324484594547
150,2022,weekday,1501.4846153846154,1.3505387174355152
150,2022,weekend,962.4666666666667,0.8657088352793217
150,2023,weekday,1629.503846153846,1.4656880342907332
150,2023,weekend,1125.4190476190477,1.0122794343514399
150,2024,weekday,1699.7900763358778,1.5289083125345453
150,2024,weekend,1187.576923076923,1.068188510301507
151,2020,weekday,9388.729007633588,1.0
151,2020,weekend,6378.942307692308,0.6794255433835455
151,2021,weekday,10456.065134099617,1.1136827067431834
151,2021,weekend,7268.5,0.7741729465287881
151,2022,weekday,13205.930769230768,1.406572791534783
151,2022,weekend,7984.638095238095,0.8504493088197683
151,2023,weekday,14679.396153846154,1.5635126055838806
151,2023,weekend,9054.87619047619,0.9644411062577314
151,2024,weekday,15522.603053435114,1.6533231538384296
151,2024,weekend,9545.26923076923,1.0166732070984652
152,2020,weekday,2155.290076335878,1.0
152,2020,weekend,1010.7788461538462,0.46897578068573986
152,2021,weekday,2409.532567049808,1.1179620755022255
152,2021,weekend,1243.9038461538462,0.5771398754215753
152,2022,weekday,3317.0576923076924,1.539030745201077
152,2022,weekend,1570.8380952380953,0.7288290854605586
152,2023,weekday,3540.119230769231,1.6425256486995223
152,2023,weekend,1659.8666666666666,0.7701360874303004
152,2024,weekday,3744.4541984732823,1.7373318977272323
152,2024,weekend,1813.3557692307693,0.8413511430041856
153,2020,weekday,11838.31679389313,1.0
153,2020,weekend,7501.221153846154,0.6336391637800829
153,2021,weekday,13248.51724137931,1.1191217021843545
153,2021,weekend,8828.490384615385,0.7457555443329256
153,2022,weekday,16104.638461538461,1.3603824548643724
153,2022,weekend,10004.838095238096,0.8451233625036251
153,2023,weekday,17244.957692307693,1.4567068944466508
153,2023,weekend,10786.27619047619,0.9111325856763994
153,2024,weekday,18359.18702290076,1.5508274818571728
153,2024,weekend,11006.25,0.9297140963213321
154,2020,weekday,2809.1603053435115,1.0
154,2020,weekend,1594.8461538461538,0.5677305602006689
154,2021,weekday,3316.655172413793,1.18065714017991
154,2021,weekend,2008.076923076923,0.7148317307692308
154,2022,weekday,4275.376923076923,1.5219412416387958
154,2022,weekend,2425.9523809523807,0.8635863095238094
154,2023,weekday,4524.153846153846,1.6105004180602005
154,2023,weekend,2812.285714285714,1.0011125776397516
154,2024,weekday,4460.9312977099235,1.5879945652173912
154,2024,weekend,2868.173076923077,1.0210072637959866
155,2020,weekday,2880.4312977099235,1.0
155,2020,weekend,1689.1538461538462,0.5864239315469186
155,2021,weekday,3632.015325670498,1.2609276008624537
155,2021,weekend,2445.7115384615386,0.8490782406113948
155,2022,weekday,4681.934615384615,1.6254283235663252
155,2022,weekend,2917.1428571428573,1.012745160581376
155,2023,weekday,5161.638461538461,1.7919672188127533
155,2023,weekend,3288.609523809524,1.1417073291850846
155,2024,weekday,5348.244274809161,1.856751202176307
155,2024,weekend,3694.230769230769,1.2825269507965191
156,2020,weekday,1777.1221374045801,1.0
156,2020,weekend,1046.3173076923076,0.5887706228342947
156,2021,weekday,2151.984674329502,1.2109379704607104
156,2021,weekend,1470.8942307692307,0.8276832524957549
156,2022,weekday,2817.8230769230768,1.5856102501983353
156,2022,weekend,1763.9619047619049,0.9925946380579698
156,2023,weekday,3158.9,1.777536801501699
156,2023,weekend,1993.7809523809524,1.1219155455982301
156,2024,weekday,3241.5496183206105,1.8240443636894712
156,2024,weekend,2217.107843137255,1.247583267616742
